estrutura-linguagem tempo tamanho_da_entrada
linkedlist-cpp 200 234
linkedlist-cpp 900 845
linkedlist-cpp 400 615
linkedlist-cpp 100 49
linkedlist-cpp 600 898
linkedlist-cpp 100 22
linkedlist-cpp 200 308
linkedlist-cpp 300 316
linkedlist-cpp 600 652
linkedlist-cpp 100 86
linkedlist-cpp 300 329
linkedlist-cpp 400 550
linkedlist-cpp 800 908
linkedlist-cpp 400 458
linkedlist-cpp 400 389
linkedlist-cpp 500 762
linkedlist-cpp 400 629
linkedlist-cpp 500 470
linkedlist-cpp 200 156
linkedlist-cpp 800 867
linkedlist-cpp 100 126
linkedlist-cpp 100 38
linkedlist-cpp 800 831
linkedlist-cpp 300 265
linkedlist-cpp 500 631
linkedlist-cpp 400 631
linkedlist-cpp 100 172
linkedlist-cpp 100 41
linkedlist-cpp 500 482
linkedlist-cpp 300 327
linkedlist-cpp 600 581
linkedlist-cpp 200 158
linkedlist-cpp 200 282
linkedlist-cpp 400 399
linkedlist-cpp 200 232
linkedlist-cpp 100 84
linkedlist-cpp 600 630
linkedlist-cpp 900 927
linkedlist-cpp 900 835
linkedlist-cpp 200 239
linkedlist-cpp 700 839
linkedlist-cpp 200 200
linkedlist-cpp 500 547
linkedlist-cpp 500 574
linkedlist-cpp 200 208
linkedlist-cpp 300 315
linkedlist-cpp 600 867
linkedlist-cpp 600 823
linkedlist-cpp 1000 857
linkedlist-cpp 0 14
linkedlist-cpp 700 716
linkedlist-cpp 100 95
linkedlist-cpp 900 797
linkedlist-cpp 100 121
linkedlist-cpp 700 912
linkedlist-cpp 300 390
linkedlist-cpp 300 309
linkedlist-cpp 100 84
linkedlist-cpp 600 493
linkedlist-cpp 200 247
linkedlist-cpp 200 143
linkedlist-cpp 100 139
linkedlist-cpp 1000 871
linkedlist-cpp 400 349
linkedlist-cpp 300 307
linkedlist-cpp 600 811
linkedlist-cpp 600 782
linkedlist-cpp 600 862
linkedlist-cpp 300 380
linkedlist-cpp 100 118
linkedlist-cpp 100 53
linkedlist-cpp 900 752
linkedlist-cpp 500 506
linkedlist-cpp 600 844
linkedlist-cpp 600 874
linkedlist-cpp 300 344
linkedlist-cpp 600 546
linkedlist-cpp 600 571
linkedlist-cpp 600 824
linkedlist-cpp 100 140
linkedlist-cpp 600 860
linkedlist-cpp 200 202
linkedlist-cpp 600 544
linkedlist-cpp 200 181
linkedlist-cpp 500 489
linkedlist-cpp 2000 2640
linkedlist-cpp 4900 6202
linkedlist-cpp 11800 9462
linkedlist-cpp 7800 7879
linkedlist-cpp 1500 1997
linkedlist-cpp 6100 6109
linkedlist-cpp 5300 6797
linkedlist-cpp 3600 4219
linkedlist-cpp 4700 5250
linkedlist-cpp 9100 8474
linkedlist-cpp 2300 3053
linkedlist-cpp 4800 3437
linkedlist-cpp 10700 9299
linkedlist-cpp 5300 5647
