estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 584 80 88177
linkedlist-python 584 80 727791
linkedlist-python 584 80 494488
linkedlist-python 584 80 529508
linkedlist-python 584 80 106007
linkedlist-python 584 80 250829
linkedlist-python 584 80 105348
linkedlist-python 584 80 825811
linkedlist-python 584 80 729912
linkedlist-python 584 80 192624
linkedlist-python 584 80 614031
linkedlist-python 584 80 717777
linkedlist-python 584 80 894757
linkedlist-python 584 80 186447
linkedlist-python 584 80 421717
linkedlist-python 584 80 255469
linkedlist-python 584 80 470719
linkedlist-python 584 80 769532
linkedlist-python 584 80 855053
linkedlist-python 584 80 826011
linkedlist-python 584 80 568605
linkedlist-python 584 80 359668
linkedlist-python 584 80 130833
linkedlist-python 584 80 772596
linkedlist-python 584 80 382131
linkedlist-python 584 80 834656
linkedlist-python 584 80 111581
linkedlist-python 584 80 662816
linkedlist-python 584 80 929594
linkedlist-python 584 80 760871
linkedlist-python 584 80 947797
linkedlist-python 584 80 610611
linkedlist-python 584 80 825612
linkedlist-python 584 80 953927
linkedlist-python 584 80 544294
linkedlist-python 584 80 452625
linkedlist-python 584 80 719291
linkedlist-python 584 80 670464
linkedlist-python 584 80 914295
linkedlist-python 584 80 657422
linkedlist-python 584 80 277944
linkedlist-python 584 80 128419
linkedlist-python 584 80 618778
linkedlist-python 584 80 804757
linkedlist-python 584 80 823135
linkedlist-python 584 80 243626
linkedlist-python 584 80 378093
linkedlist-python 584 80 146241
linkedlist-python 584 80 844492
linkedlist-python 584 80 151998
linkedlist-python 584 80 572359
linkedlist-python 584 80 220841
linkedlist-python 584 80 453933
linkedlist-python 584 80 712673
linkedlist-python 584 80 444427
linkedlist-python 584 80 158575
linkedlist-python 584 80 555213
linkedlist-python 584 80 278643
linkedlist-python 584 80 883552
linkedlist-python 584 80 383044
linkedlist-python 584 80 972529
linkedlist-python 584 80 789787
linkedlist-python 584 80 495086
linkedlist-python 584 80 624421
linkedlist-python 584 80 931622
linkedlist-python 584 80 936056
linkedlist-python 584 80 998164
linkedlist-python 584 80 630949
linkedlist-python 584 80 424170
linkedlist-python 584 80 403473
linkedlist-python 584 80 799447
linkedlist-python 584 80 815083
linkedlist-python 584 80 734197
linkedlist-python 584 80 500652
linkedlist-python 584 80 715559
linkedlist-python 584 80 905008
linkedlist-python 584 80 587224
linkedlist-python 584 80 119194
linkedlist-python 584 80 524915
linkedlist-python 584 80 398717
linkedlist-python 584 80 681456
linkedlist-python 584 80 547196
linkedlist-python 584 80 734940
linkedlist-python 584 80 190690
linkedlist-python 584 80 365848
linkedlist-python 584 80 961773
linkedlist-python 584 80 871858
linkedlist-python 584 80 922225
linkedlist-python 584 80 185692
linkedlist-python 584 80 389594
linkedlist-python 584 80 558794
linkedlist-python 584 80 554018
linkedlist-python 584 80 925448
linkedlist-python 584 80 649586
linkedlist-python 584 80 637844
linkedlist-python 584 80 679773
linkedlist-python 584 80 692726
linkedlist-python 584 80 444095
linkedlist-python 584 80 479299
linkedlist-python 584 80 605128
linkedlist-python 584 80 150055
