estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 2444 440964
ArrayList-java 2375 810327
ArrayList-java 2794 836902
ArrayList-java 2794 623440
ArrayList-java 2444 875876
ArrayList-java 2375 435465
ArrayList-java 2375 817049
ArrayList-java 2375 736852
ArrayList-java 2375 337421
ArrayList-java 2375 153831
ArrayList-java 2375 256896
ArrayList-java 2724 472112
ArrayList-java 2374 440483
ArrayList-java 2374 761861
ArrayList-java 2375 949696
ArrayList-java 2374 729680
ArrayList-java 2374 278436
ArrayList-java 1956 898903
ArrayList-java 1956 517379
ArrayList-java 2374 321855
ArrayList-java 2374 367958
ArrayList-java 2374 952042
ArrayList-java 2305 424845
ArrayList-java 2375 952604
ArrayList-java 2375 380471
ArrayList-java 1956 541609
ArrayList-java 2375 451639
ArrayList-java 1955 461987
ArrayList-java 2374 746430
ArrayList-java 1955 257414
ArrayList-java 2375 970064
ArrayList-java 1956 239495
ArrayList-java 2374 867082
ArrayList-java 2374 268995
ArrayList-java 1955 322711
ArrayList-java 2374 713398
ArrayList-java 2374 592947
ArrayList-java 2374 276148
ArrayList-java 2374 861650
ArrayList-java 1956 877626
ArrayList-java 1956 428987
ArrayList-java 2305 779273
ArrayList-java 1886 197489
ArrayList-java 2374 353791
ArrayList-java 1956 617377
ArrayList-java 1886 598693
ArrayList-java 1956 499084
ArrayList-java 1955 151561
ArrayList-java 1956 471387
ArrayList-java 2374 792693
ArrayList-java 2375 772589
ArrayList-java 2375 566000
ArrayList-java 1955 127033
ArrayList-java 2305 848497
ArrayList-java 1955 869822
ArrayList-java 2374 667776
ArrayList-java 2444 641404
ArrayList-java 1956 621191
ArrayList-java 2375 651434
ArrayList-java 1956 246927
ArrayList-java 1955 517566
ArrayList-java 1956 354410
ArrayList-java 1956 440089
ArrayList-java 1956 891510
ArrayList-java 1956 162527
ArrayList-java 2375 554055
ArrayList-java 1956 340141
ArrayList-java 2375 920897
ArrayList-java 1955 754181
ArrayList-java 2305 792454
ArrayList-java 2374 634559
ArrayList-java 1956 410337
ArrayList-java 1956 292478
ArrayList-java 2374 546925
ArrayList-java 1956 161669
ArrayList-java 1956 479214
ArrayList-java 2374 876301
ArrayList-java 2375 829655

