estrutura_linguagem tempo tamanho
linkedlist-java 175900 149495
linkedlist-java 180700 156021
linkedlist-java 763300 548956
linkedlist-java 168300 146181
linkedlist-java 518900 371287
linkedlist-java 289000 245022
linkedlist-java 1194200 874371
linkedlist-java 583700 431188
linkedlist-java 163400 142418
linkedlist-java 277100 237745
linkedlist-java 1148500 830336
linkedlist-java 161400 140771
linkedlist-java 1377700 988572
linkedlist-java 119800 103184
linkedlist-java 348100 275417
linkedlist-java 1104200 789484
linkedlist-java 884700 645331
linkedlist-java 321400 268453
linkedlist-java 839100 607612
linkedlist-java 127300 111230
linkedlist-java 424100 326658
linkedlist-java 1058300 774050
linkedlist-java 499800 367861
linkedlist-java 765600 550721
linkedlist-java 810100 580585
linkedlist-java 907600 667376
linkedlist-java 694900 493054
linkedlist-java 223400 189553
linkedlist-java 195900 168972
linkedlist-java 767900 570768
linkedlist-java 607800 428948
linkedlist-java 1130400 819911
linkedlist-java 801100 578872
linkedlist-java 467500 350209
linkedlist-java 326200 274330
linkedlist-java 578200 416089
linkedlist-java 158400 138121
linkedlist-java 873900 637389
linkedlist-java 885600 637082
linkedlist-java 219600 186727
linkedlist-java 587500 429898
linkedlist-java 154200 134252
linkedlist-java 921900 665381
linkedlist-java 234500 201486
linkedlist-java 1179800 799306
linkedlist-java 1250100 908489
linkedlist-python 9000 553
linkedlist-python 15900 922
linkedlist-python 9900 597
linkedlist-python 15800 915
linkedlist-python 4700 315
linkedlist-python 7800 483
linkedlist-python 6400 409
linkedlist-python 6500 412
linkedlist-python 2800 185
linkedlist-python 1800 113
linkedlist-python 15300 882
linkedlist-python 1400 85
linkedlist-python 5100 335
linkedlist-python 2500 166
linkedlist-python 12800 746
linkedlist-python 3300 234
linkedlist-python 14600 845
linkedlist-python 10300 615
linkedlist-python 1000 49
linkedlist-python 15500 898
linkedlist-python 700 22
linkedlist-python 4600 308
linkedlist-python 4700 316
linkedlist-python 11000 652
linkedlist-python 1400 86
linkedlist-python 4900 329
linkedlist-python 9100 550
linkedlist-python 15700 908
linkedlist-python 7400 458
linkedlist-python 6100 389
linkedlist-python 12900 762
linkedlist-python 10600 629
linkedlist-python 7600 470
linkedlist-python 2300 156
linkedlist-python 14900 867
linkedlist-python 2000 126
linkedlist-python 800 38
linkedlist-python 14500 831
linkedlist-python 3700 265
linkedlist-python 10600 631
linkedlist-python 10600 631
linkedlist-python 2500 172
linkedlist-python 900 41
linkedlist-python 7900 482
linkedlist-python 4900 327
linkedlist-python 9600 581
linkedlist-python 2300 158
linkedlist-python 4100 282
linkedlist-python 6300 399
linkedlist-python 3300 232
linkedlist-python 1500 84
linkedlist-python 10600 630
linkedlist-python 16100 927
linkedlist-python 14400 835
linkedlist-python 3300 239
linkedlist-python 14600 839
linkedlist-python 2900 200
linkedlist-python 9000 547
linkedlist-python 9500 574
linkedlist-python 3000 208
linkedlist-python 4700 315
linkedlist-python 15000 867
linkedlist-python 14100 823
linkedlist-python 24700 857
linkedlist-python 500 14
linkedlist-python 12200 716
linkedlist-python 1600 95
linkedlist-python 13600 797
linkedlist-python 1900 121
linkedlist-python 15800 912
linkedlist-python 6100 390
linkedlist-python 4500 309
linkedlist-python 1400 84
linkedlist-python 8000 493
linkedlist-python 3400 247
linkedlist-python 2200 143
linkedlist-python 2100 139
linkedlist-python 15100 871
linkedlist-python 5300 349
linkedlist-python 4600 307
linkedlist-python 14100 811
linkedlist-python 13400 782
linkedlist-python 14900 862
linkedlist-python 5800 380
linkedlist-python 1900 118
linkedlist-python 1000 53
linkedlist-python 12800 752
linkedlist-python 8300 506
linkedlist-python 14500 844
linkedlist-python 15100 874
linkedlist-python 5300 344
linkedlist-python 9000 546
linkedlist-python 9500 571
linkedlist-python 14200 824
linkedlist-python 2100 140
linkedlist-python 14900 860
linkedlist-python 2900 202
