estrutura_linguagem tempo tamanho
linkedlist-java 988000 855053
linkedlist-java 944400 826011
linkedlist-java 643700 568605
linkedlist-java 406500 359668
linkedlist-java 147400 130833
linkedlist-java 873900 772596
linkedlist-java 431900 382131
linkedlist-java 945600 834656
linkedlist-java 125600 111581
linkedlist-java 751100 662816
linkedlist-java 1059000 929594
linkedlist-java 859900 760871
linkedlist-java 1073200 947797
linkedlist-java 691000 610611
linkedlist-java 932700 825612
linkedlist-java 1087200 953927
linkedlist-java 614700 544294
linkedlist-java 510700 452625
linkedlist-java 813400 719291
linkedlist-java 759800 670464
linkedlist-java 1043500 914295
linkedlist-java 744800 657422
linkedlist-java 313900 277944
linkedlist-java 144600 128419
linkedlist-java 697100 618778
linkedlist-java 910600 804757
linkedlist-java 937900 823135
linkedlist-java 274200 243626
linkedlist-java 426300 378093
linkedlist-java 164700 146241
linkedlist-java 960800 844492
linkedlist-java 171200 151998
linkedlist-java 667200 572359
linkedlist-java 248600 220841
linkedlist-java 514200 453933
linkedlist-java 805800 712673
linkedlist-java 503700 444427
linkedlist-java 179400 158575
linkedlist-java 626500 555213
linkedlist-java 313600 278643
linkedlist-java 1004900 883552
linkedlist-java 432700 383044
linkedlist-java 1139900 972529
linkedlist-java 892900 789787
linkedlist-java 557900 495086
linkedlist-java 707700 624421
linkedlist-java 1065100 931622
linkedlist-java 1066200 936056
linkedlist-java 1145000 998164
linkedlist-java 714200 630949
linkedlist-java 478500 424170
linkedlist-java 454800 403473
linkedlist-java 903700 799447
linkedlist-java 921400 815083
linkedlist-java 838600 734197
linkedlist-java 563900 500652
linkedlist-java 812900 715559
linkedlist-java 1030200 905008
linkedlist-java 663100 587224
linkedlist-java 134300 119194
linkedlist-java 591000 524915
linkedlist-java 450100 398717
linkedlist-java 771200 681456
linkedlist-java 617300 547196
linkedlist-java 834100 734940
linkedlist-java 214700 190690
linkedlist-java 414000 365848
linkedlist-java 1171800 961773
linkedlist-java 986100 871858
linkedlist-java 1043700 922225
linkedlist-java 209900 185692
linkedlist-java 442900 389594
linkedlist-java 631300 558794
linkedlist-java 626300 554018
linkedlist-java 1051600 925448
linkedlist-java 734600 649586
linkedlist-java 730900 637844
linkedlist-java 771500 679773
linkedlist-java 783800 692726
linkedlist-java 500300 444095
linkedlist-java 544200 479299
linkedlist-java 686600 605128
linkedlist-java 168900 150055
linkedlist-cpp 1000 655
linkedlist-cpp 1300 907
linkedlist-cpp 100 39
linkedlist-cpp 300 264
linkedlist-cpp 1300 909
linkedlist-cpp 100 131
linkedlist-cpp 1600 857
linkedlist-cpp 1400 969
linkedlist-cpp 600 451
linkedlist-cpp 800 544
linkedlist-cpp 200 194
linkedlist-cpp 700 685
linkedlist-cpp 600 610
linkedlist-cpp 600 528
linkedlist-cpp 200 195
linkedlist-cpp 400 297
linkedlist-cpp 400 411
linkedlist-cpp 100 79
linkedlist-cpp 300 271
linkedlist-cpp 500 440
linkedlist-cpp 1300 913
linkedlist-cpp 100 50
linkedlist-cpp 1000 723
linkedlist-cpp 100 115
linkedlist-cpp 900 650
linkedlist-cpp 400 364
linkedlist-cpp 1000 707
linkedlist-cpp 600 473
linkedlist-cpp 400 316
linkedlist-cpp 1300 907
linkedlist-cpp 600 471
linkedlist-cpp 400 366
linkedlist-cpp 700 563
linkedlist-cpp 300 206
linkedlist-cpp 100 63
linkedlist-cpp 400 338
linkedlist-cpp 500 401
linkedlist-cpp 300 256
linkedlist-cpp 1400 937
linkedlist-cpp 200 172
linkedlist-cpp 1100 758
linkedlist-cpp 900 665
linkedlist-cpp 300 202
linkedlist-cpp 1400 924
linkedlist-cpp 100 15
linkedlist-cpp 100 29
linkedlist-cpp 900 693
linkedlist-cpp 200 143
linkedlist-cpp 1200 851
linkedlist-cpp 400 392
linkedlist-cpp 300 254
linkedlist-cpp 1200 796
linkedlist-cpp 0 3
linkedlist-cpp 1000 754
linkedlist-cpp 1300 901
linkedlist-cpp 100 22
linkedlist-cpp 1400 989
linkedlist-cpp 500 444
linkedlist-cpp 600 456
linkedlist-cpp 1100 744
linkedlist-cpp 1300 813
linkedlist-cpp 400 382
linkedlist-cpp 500 390
linkedlist-cpp 600 571
linkedlist-cpp 500 414
linkedlist-cpp 1200 833
linkedlist-cpp 500 442
linkedlist-cpp 1300 876
linkedlist-cpp 500 450
linkedlist-cpp 500 422
linkedlist-cpp 300 302
linkedlist-cpp 600 572
linkedlist-cpp 400 427
linkedlist-cpp 1500 994
linkedlist-cpp 1100 853
linkedlist-cpp 900 698
linkedlist-cpp 200 143
linkedlist-cpp 300 286
linkedlist-cpp 1100 802
linkedlist-cpp 200 177
linkedlist-cpp 400 325
linkedlist-cpp 900 681
linkedlist-cpp 1200 770
linkedlist-cpp 1300 868
linkedlist-cpp 1500 986
linkedlist-cpp 200 205
linkedlist-cpp 1100 763
linkedlist-cpp 1300 969
linkedlist-cpp 300 218
linkedlist-cpp 1400 945
linkedlist-cpp 1000 710
linkedlist-cpp 900 679
linkedlist-cpp 100 35
linkedlist-cpp 500 527
linkedlist-cpp 1200 914
linkedlist-cpp 800 617
linkedlist-cpp 500 436
linkedlist-cpp 800 572
linkedlist-cpp 1300 870
linkedlist-cpp 1200 858
linkedlist-cpp 3400 2241
linkedlist-cpp 12100 6998
linkedlist-cpp 14500 7942
linkedlist-cpp 17800 9815
linkedlist-cpp 12500 8270
linkedlist-cpp 10700 6777
linkedlist-cpp 9800 7213
linkedlist-cpp 6200 4391
linkedlist-cpp 5400 3777
linkedlist-cpp 10100 6445
linkedlist-cpp 2200 1437
linkedlist-cpp 3300 2089
linkedlist-cpp 15200 9034
linkedlist-cpp 8700 5727
linkedlist-cpp 15100 9279
linkedlist-cpp 2300 1536
linkedlist-cpp 4000 2774
linkedlist-cpp 14400 8384
linkedlist-cpp 16500 9659
linkedlist-cpp 3400 2346
linkedlist-cpp 4100 2815
linkedlist-cpp 5100 3471
linkedlist-cpp 2800 1865
linkedlist-cpp 6100 4317
linkedlist-cpp 9600 6596
