estrutura_linguagem tempo tamanho
linkedlist-cpp 200 218
linkedlist-cpp 600 945
linkedlist-cpp 400 710
linkedlist-cpp 400 679
linkedlist-cpp 100 35
linkedlist-cpp 300 527
linkedlist-cpp 600 914
linkedlist-cpp 400 617
linkedlist-cpp 300 436
linkedlist-cpp 400 572
linkedlist-cpp 500 870
linkedlist-cpp 500 858
linkedlist-cpp 1800 2241
linkedlist-cpp 5500 6998
linkedlist-cpp 5700 7942
linkedlist-cpp 6600 9815
linkedlist-cpp 5900 8270
linkedlist-cpp 4500 6777
linkedlist-cpp 5900 7213
linkedlist-cpp 3700 4391
linkedlist-cpp 2900 3777
linkedlist-cpp 4300 6445
linkedlist-cpp 1100 1437
linkedlist-cpp 1700 2089
linkedlist-cpp 6200 9034
linkedlist-cpp 4000 5727
linkedlist-cpp 6900 9279
linkedlist-cpp 1100 1536
linkedlist-cpp 2100 2774
linkedlist-cpp 5800 8384
linkedlist-cpp 6600 9659
linkedlist-cpp 1700 2346
linkedlist-cpp 2000 2815
linkedlist-cpp 2700 3471
linkedlist-cpp 1700 1865
linkedlist-cpp 3500 4317
linkedlist-cpp 4600 6596
linkedlist-cpp 5100 6839
linkedlist-cpp 4600 6915
linkedlist-cpp 3900 5176
linkedlist-cpp 6500 9486
linkedlist-cpp 6400 9398
linkedlist-cpp 4200 6216
linkedlist-cpp 5200 7587
linkedlist-cpp 2700 3476
linkedlist-cpp 5600 8259
linkedlist-cpp 5700 8378
linkedlist-cpp 2600 3526
linkedlist-cpp 8600 9004
linkedlist-cpp 3200 4398
linkedlist-cpp 3400 4530
linkedlist-cpp 7100 8750
linkedlist-cpp 4600 6536
linkedlist-cpp 5700 8396
linkedlist-cpp 3600 5018
linkedlist-cpp 4500 5428
linkedlist-cpp 1100 1514
linkedlist-cpp 5500 7922
linkedlist-cpp 3300 4871
linkedlist-cpp 4200 5353
linkedlist-cpp 4500 6245
linkedlist-cpp 2500 3066
linkedlist-cpp 5400 7247
linkedlist-cpp 3400 4427
linkedlist-cpp 4800 6962
linkedlist-cpp 5800 8557
linkedlist-cpp 7000 9994
linkedlist-cpp 2200 2922
linkedlist-cpp 4900 6884
linkedlist-cpp 5600 8031
linkedlist-cpp 3000 4244
linkedlist-cpp 1100 1532
linkedlist-cpp 3600 4633
linkedlist-cpp 5300 7063
linkedlist-cpp 4000 5906
linkedlist-cpp 5500 6428
linkedlist-cpp 4200 5541
linkedlist-cpp 5100 6624
linkedlist-cpp 6200 8027
linkedlist-cpp 2100 2662
linkedlist-cpp 3200 4614
linkedlist-cpp 5300 7372
linkedlist-cpp 4500 6217
linkedlist-cpp 4600 6316
linkedlist-cpp 3300 4201
linkedlist-cpp 6700 8771
linkedlist-cpp 5100 6882
linkedlist-cpp 6500 9609
linkedlist-cpp 1800 2562
linkedlist-cpp 900 1195
linkedlist-cpp 4200 5647
linkedlist-cpp 3600 5194
linkedlist-cpp 3700 4746
linkedlist-cpp 2100 2664
linkedlist-cpp 6800 9475
linkedlist-cpp 3600 5264
linkedlist-cpp 1600 2019
linkedlist-cpp 6000 8726
linkedlist-cpp 1500 1971
linkedlist-cpp 4900 6949
linkedlist-cpp 5700 7775
linkedlist-cpp 4500 6088
linkedlist-cpp 9200 9084
linkedlist-cpp 3400 4926
linkedlist-cpp 2900 3839
linkedlist-cpp 5600 7371
linkedlist-cpp 6400 8285
linkedlist-cpp 4300 6303
linkedlist-cpp 5700 8393
linkedlist-cpp 3400 4514
linkedlist-cpp 2800 3759
linkedlist-cpp 1600 2039
linkedlist-cpp 78300 88116
linkedlist-cpp 88500 92921
linkedlist-cpp 75800 94815
linkedlist-cpp 28200 34807
linkedlist-cpp 23000 29029
linkedlist-cpp 12600 15214
linkedlist-cpp 54300 57784
linkedlist-cpp 23300 29693
linkedlist-cpp 18100 22290
linkedlist-cpp 11700 16963
linkedlist-cpp 11600 16084
linkedlist-cpp 16500 21963
linkedlist-cpp 33200 39890
linkedlist-cpp 13900 20289
linkedlist-cpp 36700 41119
linkedlist-cpp 26200 31792
linkedlist-cpp 67000 73440
linkedlist-cpp 14800 20791
linkedlist-cpp 8000 11649
linkedlist-cpp 17300 22303
