estrutura-linguagem tempo tamanho_da_entrada
queue-java 64977 3133
queue-java 37459 1794
queue-java 155283 7479
queue-java 156725 7573
queue-java 64126 3065
queue-java 148792 7199
queue-java 173358 8381
queue-java 27182 1232
queue-java 97893 4723
queue-java 153062 7408
queue-java 198515 9543
queue-java 35170 1635
queue-java 93899 4464
queue-java 102667 4964
queue-java 45280 2160
queue-java 121110 5851
queue-java 186727 9042
queue-java 183471 8857
queue-java 194338 9324
queue-java 174514 8449
queue-java 96531 4652
queue-java 161976 7844
queue-java 29070 1340
queue-java 160119 7652
queue-java 67484 3262
queue-java 114610 5540
queue-java 64328 3098
queue-java 45577 2137
queue-java 159300 7721
queue-java 208263 9975
queue-java 178889 8665
queue-java 206755 9919
queue-java 120238 5811
queue-java 117036 5664
queue-java 202861 9716
queue-java 102715 4967
queue-java 205313 9912
queue-java 37809 1788
queue-java 55086 2647
queue-java 50486 2415
queue-java 58935 2844
queue-java 78652 3784
queue-java 146931 7102
queue-java 56805 2723
queue-java 186171 9005
queue-java 106100 5111
queue-java 164422 7820
queue-java 113533 5485
queue-java 77167 3712
queue-java 76851 3693
queue-java 208787 9910
queue-java 29068 1327
queue-java 143127 6908
queue-java 145886 6989
queue-java 147888 7083
queue-java 62609 3015
queue-java 23824 1137
queue-java 165817 8016
queue-java 100639 4869
queue-java 82328 3974
queue-java 183663 8837
queue-java 198123 9557
queue-java 104610 5070
queue-java 120033 5799
queue-java 137609 6654
queue-java 58990 2820
queue-java 117957 5643
queue-java 145901 7072
queue-java 129464 6261
queue-java 123902 5799
queue-java 76611 3659
queue-java 96750 4673
queue-java 182086 8755
queue-java 54648 2593
queue-java 110369 5257
queue-java 129049 6207
queue-java 81265 3907
queue-python 32 370
queue-python 32 562
queue-python 32 919
queue-python 32 898
queue-python 32 285
queue-python 32 530
queue-python 32 708
queue-python 32 848
queue-python 32 801
queue-python 32 565
queue-python 32 683
queue-python 32 648
queue-python 0 116
queue-python 32 848
queue-python 0 52
queue-python 32 359
queue-python 32 730
queue-python 32 867
queue-python 32 333
queue-python 0 14
queue-python 0 65
queue-python 32 975
queue-python 32 421
queue-python 32 525
queue-python 32 573
queue-python 32 767
queue-python 32 551
queue-python 32 968
